Name,Name,RBL,Mass,Note,
Aelurodon_asthenostylus,Aelurodon asthenostylus,0.723438179,22.69864852,Extinct,
Aelurodon_ferox,Aelurodon ferox,0.742780764,26.36331386,Extinct,
Aelurodon_mcgrewi,Aelurodon mcgrewi,0.727230443,22.1309471,Extinct,
Aelurodon_montanensis,Aelurodon montanensis,0.748,23.28091258,Extinct,
Aelurodon_stirtoni,Aelurodon stirtoni,0.772914728,20.60629913,Extinct,
Aelurodon_taxoides,Aelurodon taxoides,0.759994707,29.51209227,Extinct,
Archaeocyon_falkenbachi,Archaeocyon falkenbachi,NA,NA,Extinct,
Archaeocyon_leptodus,Archaeocyon leptodus,0.668210911,3.372873087,Extinct,
Archaeocyon_pavidus,Archaeocyon pavidus,0.635560419,2.443430553,Extinct,
Atelocynus_microtis,Atelocynus microtis,0.6445953,9.5,Extant,
Borophagus_diversidens,Borophagus diversidens,0.715488428,34.8337315,Extinct,
Borophagus_dudleyi,Borophagus dudleyi,0.735894838,28.153435,Extinct,
Borophagus_hilli,Borophagus hilli,0.709363534,29.17427014,Extinct,
Borophagus_littoralis,Borophagus littoralis,0.67,23.44228815,Extinct,
Borophagus_orc,Borophagus orc,0.727516779,16.943378,Extinct,
Borophagus_parvus,Borophagus parvus,0.698751479,19.23091729,Extinct,
Borophagus_secundus,Borophagus secundus,0.717695943,24.15460834,Extinct,
Caedocyon_tedfordi,Caedocyon tedfordi,NA,NA,Extinct,
Canis_adustus,Canis adustus,0.66,9.15,Extant,
Canis_armbrusteri,Canis armbrusteri,0.691810051,28.57590543,Extinct,
Canis_arnensis,Canis arnensis,NA,NA,Extinct,
Canis_aureus,Canis aureus,0.64,7.925,Extant,
Canis_aureus,Canis aureus,0.64,7.925,Extinct,
Canis_cedazoensis,Canis cedazoensis,0.671707118,22.06625,Extinct,
Canis_edwardii,Canis edwardii,0.683013956,21.0377844,Extinct,
Canis_etruscus,Canis etruscus,NA,NA,Extinct,
Canis_latrans,Canis latrans,0.66,11.3,Extant,
Canis_latrans,Canis latrans,0.696410526,15.59552503,Extinct,
Canis_lepophagus,Canis lepophagus,0.707927026,14.85935642,Extinct,
Canis_longdanensis,Canis longdanensis,NA,NA,Extinct,
Canis_lupaster,Canis lupaster,NA,NA,Extinct,
Canis_lupus,Canis lupus,0.72,62,Extant,
Canis_lupus,Canis lupus,0.707927026,25.29297996,Extinct,
Canis_mesomelas,Canis mesomelas,0.66,8.5,Extant,
Canis_rufus,Canis rufus,0.690713627,28,Extant,
Canis_rufus,Canis rufus,0.692477288,19.390092,Extinct,
Canis_simensis,Canis simensis,0.664,13.4,Extant,
Canis_simensis,Canis simensis,0.664,13.4,Extinct,
Canis_teilhardi,Canis teilhardi,NA,NA,Extinct,
Canis_thooides,Canis thooides,0.686476212,12.02264435,Extinct,
Carpocyon_compressus,Carpocyon compressus,0.661841629,15.27566058,Extinct,
Carpocyon_limosus,Carpocyon limosus,0.670270867,19.053457,Extinct,
Carpocyon_robustus,Carpocyon robustus,0.691691469,19.36421964,Extinct,
Carpocyon_webbi,Carpocyon webbi,0.692075845,20.55890596,Extinct,
Cerdocyon_texanus,Cerdocyon texanus,0.642083897,7.979946873,Extinct,
Cerdocyon_thous,Cerdocyon thous,0.59,6.5,Extant,
Cerdocyon_thous,Cerdocyon thous,0.59,6.5,Extinct,
Chrysocyon_brachyurus,Chrysocyon brachyurus,0.57,25.25,Extant,
Chrysocyon_brachyurus,Chrysocyon brachyurus,0.57,25.25,Extinct,
Chrysocyon_nearcticus,Chrysocyon nearcticus,0.714,16.03245391,Extinct,
Cormocyon_copei,Cormocyon copei,0.614145031,5.12861384,Extinct,
Cormocyon_haydeni,Cormocyon haydeni,0.674973977,5.12861384,Extinct,
Cuon_alpinus,Cuon alpinus,0.74,14.5,Extant,
Cuon_alpinus,Cuon alpinus,0.743259968,15.5,Extinct,
Cynarctoides_acridens,Cynarctoides acridens,0.657,3.235936569,Extinct,
Cynarctoides_emryi,Cynarctoides emryi,0.541,2.426610095,Extinct,
Cynarctoides_gawnae,Cynarctoides gawnae,0.675,2.570395783,Extinct,
Cynarctoides_harlowi,Cynarctoides harlowi,0.62,1.87068214,Extinct,
Cynarctoides_lemur,Cynarctoides lemur,0.622530547,2.290867653,Extinct,
Cynarctoides_luskensis,Cynarctoides luskensis,0.647189247,2.387811283,Extinct,
Cynarctoides_whistleri,Cynarctoides whistleri,0.631,1.90107828,Extinct,
Cynarctus_crucidens,Cynarctus crucidens,0.519811035,4.93173804,Extinct,
Cynarctus_galushai,Cynarctus galushai,0.656941073,9.462371614,Extinct,
Cynarctus_marylandica,Cynarctus marylandica,0.625304644,9.122272,Extinct,
Cynarctus_saxatilis,Cynarctus saxatilis,0.56043956,10.09252886,Extinct,
Cynarctus_voorhiesi,Cynarctus voorhiesi,0.609195402,7.244359601,Extinct,
Cynarctus_wangi,Cynarctus wangi,0.614609101,7.344359601,Extinct,
Cynodesmus_martini,Cynodesmus martini,NA,NA,Extinct,
Cynodesmus_thooides,Cynodesmus thooides,0.698453577,9.506047937,Extinct,
Cynotherium_sardous,Cynotherium sardous,NA,NA,Extinct,
Desmocyon_matthewi,Desmocyon matthewi,0.66258194,8.14704284,Extinct,
Desmocyon_thomsoni,Desmocyon thomsoni,0.680352121,7.09577768,Extinct,
Dusicyon_australis,Dusicyon australis,NA,NA,Extinct,
Dusicyon_avus,Dusicyon avus,NA,NA,Extinct,
Ectopocynus_antiquus,Ectopocynus antiquus,0.670869015,8.729713684,Extinct,
Ectopocynus_intermedius,Ectopocynus intermedius,NA,NA,Extinct,
Ectopocynus_simplicidens,Ectopocynus simplicidens,0.755503748,16.74942876,Extinct,
Enhydrocyon_basilatus,Enhydrocyon basilatus,0.781479039,20.32357011,Extinct,
Enhydrocyon_crassidens,Enhydrocyon crassidens,0.765768852,18.49268619,Extinct,
Enhydrocyon_pahinsintewakpa,Enhydrocyon pahinsintewakpa,0.73613451,15.95879147,Extinct,
Enhydrocyon_stenocephalus,Enhydrocyon stenocephalus,0.724901575,14.06047524,Extinct,
Epicyon_aelurodontoides,Epicyon aelurodontoides,0.741631846,24.21014,Extinct,
Epicyon_haydeni,Epicyon haydeni,0.735317362,41.49540426,Extinct,
Epicyon_saevus,Epicyon saevus,0.716669237,27.79713268,Extinct,
Eucyon_davisi,Eucyon davisi,0.671974483,10.54386896,Extinct,
Eucyon_debonisi,Eucyon debonisi,NA,NA,Extinct,
Eucyon_kuta,Eucyon kuta,NA,NA,Extinct,
Eucyon_minor,Eucyon minor,NA,NA,Extinct,
Eucyon_monticinensis,Eucyon monticinensis,NA,NA,Extinct,
Eucyon_odessanus,Eucyon odessanus,NA,NA,Extinct,
Eucyon_skinneri,Eucyon skinneri,0.623,9.418895965,Extinct,
Eucyon_zhoui,Eucyon zhoui,NA,NA,Extinct,
Euoplocyon_brachygnathus,Euoplocyon brachygnathus,0.703322527,11.83041556,Extinct,
Euoplocyon_spissidens,Euoplocyon spissidens,0.62,9.794899854,Extinct,
Hesperocyon_gregarius,Hesperocyon gregarius,0.673142277,3.647539469,Extinct,
Leptocyon_delicatus,Leptocyon delicatus,NA,NA,Extinct,
Leptocyon_douglassi,Leptocyon douglassi,0.697,3.221068791,Extinct,
Leptocyon_gregorii,Leptocyon gregorii,0.700177632,3.981071706,Extinct,
Leptocyon_leidyi,Leptocyon leidyi,0.66228808,4.446312675,Extinct,
Leptocyon_matthewi,Leptocyon matthewi,0.675,6.501296903,Extinct,
Leptocyon_mollis,Leptocyon mollis,0.651,3.539973411,Extinct,
Leptocyon_tejonensis,Leptocyon tejonensis,0.629,5.382697825,Extinct,
Leptocyon_vafer,Leptocyon vafer,0.688529746,5.333348955,Extinct,
Leptocyon_vulpinus,Leptocyon vulpinus,0.699363369,4.73151259,Extinct,
Lycalopex_culpaeus,Lycalopex culpaeus,0.68,7.775,Extant,
Lycalopex_culpaeus,Lycalopex culpaeus,0.68,7.775,Extinct,
Lycalopex_fulvipes,Lycalopex fulvipes,0.6296927,2.825,Extant,
Lycalopex_griseus,Lycalopex griseus,0.6416532,3.5,Extant,
Lycalopex_griseus,Lycalopex griseus,0.6416532,3.5,Extinct,
Lycalopex_gymnocercus,Lycalopex gymnocercus,0.6345991,5.175,Extant,
Lycalopex_gymnocercus,Lycalopex gymnocercus,0.6345991,5.175,Extinct,
Lycalopex_sechurae,Lycalopex sechurae,0.6201816,3.7,Extant,
Lycalopex_vetulus,Lycalopex vetulus,0.565,3.275,Extant,
Lycalopex_vetulus,Lycalopex vetulus,0.565,3.275,Extinct,
Lycaon_pictus,Lycaon pictus,0.72,25,Extant,
Lycaon_pictus,Lycaon pictus,0.72,25,Extinct,
Lycaon_sekowei,Lycaon sekowei,NA,NA,Extinct,
Mesocyon_brachyops,Mesocyon brachyops,0.709,7.961593504,Extinct,
Mesocyon_coryphaeus,Mesocyon coryphaeus,0.717041801,10.18591388,Extinct,
Mesocyon_temnodon,Mesocyon temnodon,0.684419198,7.128530301,Extinct,
Metalopex_bakeri,Metalopex bakeri,0.534309946,5.970352866,Extinct,
Metalopex_macconnelli,Metalopex macconnelli,0.633041893,5.861381645,Extinct,
Metalopex_merriami,Metalopex merriami,0.678072289,7.870457897,Extinct,
Metatomarctus_canavus,Metatomarctus canavus,0.676497782,11.19437883,Extinct,
Microtomarctus_conferta,Microtomarctus conferta,0.680089663,9.204495718,Extinct,
Nyctereutes_abdeslami,Nyctereutes abdeslami,NA,NA,Extinct,
Nyctereutes_barryi,Nyctereutes barryi,NA,NA,Extinct,
Nyctereutes_donnezani,Nyctereutes donnezani,NA,NA,Extinct,
Nyctereutes_lockwoodi,Nyctereutes lockwoodi,NA,NA,Extinct,
Nyctereutes_megamastoides,Nyctereutes megamastoides,NA,NA,Extinct,
Nyctereutes_procyonoides,Nyctereutes procyonoides,0.612,7.7,Extant,
Nyctereutes_procyonoides,Nyctereutes procyonoides,0.612,7.7,Extinct,
Nyctereutes_sinensis,Nyctereutes sinensis,NA,NA,Extinct,
Nyctereutes_tingi,Nyctereutes tingi,NA,NA,Extinct,
Osbornodon_brachypus,Osbornodon brachypus,0.703766161,13.42764961,Extinct,
Osbornodon_fricki,Osbornodon fricki,0.731094765,26.0615355,Extinct,
Osbornodon_iamonensis,Osbornodon iamonensis,0.686776012,13.96368361,Extinct,
Osbornodon_renjiei,Osbornodon renjiei,0.622498625,5.834451043,Extinct,
Osbornodon_scitulus,Osbornodon scitulus,0.678194971,11.32400363,Extinct,
Osbornodon_sesnoni,Osbornodon sesnoni,0.644014383,7.99834255,Extinct,
Osbornodon_wangi,Osbornodon wangi,NA,NA,Extinct,
Otarocyon_cooki,Otarocyon cooki,0.619541874,1.667247213,Extinct,
Otarocyon_macdonaldi,Otarocyon macdonaldi,0.63029316,1.667247213,Extinct,
Otocyon_megalotis,Otocyon megalotis,0.529641169,4.225,Extant,
Otocyon_megalotis,Otocyon megalotis,0.529641169,4.225,Extinct,
Oxetocyon_cuspidatus,Oxetocyon cuspidatus,0.6,2.432204009,Extinct,
Paracynarctus_kelloggi,Paracynarctus kelloggi,0.649744233,8.649679188,Extinct,
Paracynarctus_sinclairi,Paracynarctus sinclairi,0.693281132,8.035261222,Extinct,
Paraenhydrocyon_josephi,Paraenhydrocyon josephi,0.71,7.78036551,Extinct,
Paraenhydrocyon_robustus,Paraenhydrocyon robustus,0.703,9.162204901,Extinct,
Paraenhydrocyon_wallovianus,Paraenhydrocyon wallovianus,0.709179778,13.83566379,Extinct,
Paratomarctus_euthos,Paratomarctus euthos,0.677406161,14.48771854,Extinct,
Paratomarctus_temerarius,Paratomarctus temerarius,0.663454254,12.5025903,Extinct,
Philotrox_condoni,Philotrox condoni,0.735813369,11.93988104,Extinct,
Phlaocyon_achoros,Phlaocyon achoros,0.651,2.96483139,Extinct,
Phlaocyon_annectens,Phlaocyon annectens,0.624334878,1.570362804,Extinct,
Phlaocyon_latidens,Phlaocyon latidens,0.579881657,2.792543841,Extinct,
Phlaocyon_leucosteus,Phlaocyon leucosteus,0.651678035,3.810658234,Extinct,
Phlaocyon_mariae,Phlaocyon mariae,0.652417125,5.306856,Extinct,
Phlaocyon_marslandensis,Phlaocyon marslandensis,0.58,4.897788194,Extinct,
Phlaocyon_minor,Phlaocyon minor,0.628873511,3.622429984,Extinct,
Phlaocyon_multicuspus,Phlaocyon multicuspus,0.644078213,3.093268,Extinct,
Phlaocyon_taylori,Phlaocyon taylori,NA,NA,Extinct,
Phlaocyon_yatkolai,Phlaocyon yatkolai,0.6,9.571940713,Extinct,
Protepicyon_raki,Protepicyon raki,0.723186658,25.11886432,Extinct,
Protocyon_troglodytes,Protocyon troglodytes,0.70671088,12,Extinct,
Protomarctus_optatus,Protomarctus optatus,0.672,11.93988104,Extinct,
Psalidocyon_marianae,Psalidocyon marianae,0.671689407,9.354056741,Extinct,
Rhizocyon_oregonensis,Rhizocyon oregonensis,0.658,3.30369541,Extinct,
Speothos_venaticus,Speothos venaticus,0.637,6.5,Extinct,
Speothos_venaticus,Speothos venaticus,0.637,6.5,Extant,
Sunkahetanka_geringensis,Sunkahetanka geringensis,0.698278676,11.16863248,Extinct,
Tephrocyon_rurestris,Tephrocyon rurestris,0.722,15.10080154,Extinct,
Tomarctus_brevirostris,Tomarctus brevirostris,0.706134622,18.23895702,Extinct,
