Name,IUCN_status
Atelocynus_microtis,NT
Canis_aureus,LC
Canis_latrans,LC
Canis_lupaster,LC
Canis_lupus,LC
Canis_rufus,CR
Canis_simensis,EN
Cerdocyon_thous,LC
Chrysocyon_brachyurus,NT
Cuon_alpinus,EN
Dusicyon_australis,EX
Dusicyon_avus,EX
Canis_adustus,LC
Canis_mesomelas,LC
Lycalopex_culpaeus,LC
Lycalopex_fulvipes,EN
Lycalopex_griseus,LC
Lycalopex_gymnocercus,LC
Lycalopex_sechurae,NT
Lycalopex_vetulus,NT
Lycaon_pictus,EN
Nyctereutes_procyonoides,LC
Otocyon_megalotis,LC
Speothos_venaticus,NT
Urocyon_cinereoargenteus,LC
Urocyon_littoralis,NT
Vulpes_bengalensis,LC
Vulpes_cana,LC
Vulpes_chama,LC
Vulpes_corsac,LC
Vulpes_ferrilata,LC
Vulpes_lagopus,LC
Vulpes_macrotis,LC
Vulpes_pallida,LC
Vulpes_rueppellii,LC
Vulpes_velox,LC
Vulpes_vulpes,LC
Vulpes_zerda,LC
