occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,Name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,plant_organ,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,container_no,collection_aka,cc,state,county,latlng_basis,latlng_precision,altitude_value,altitude_unit,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,cc,protected,direct_ma_value,direct_ma_error,direct_ma_unit,direct_ma_method,max_ma_value,max_ma_error,max_ma_unit,max_ma_method,min_ma_value,min_ma_error,min_ma_unit,min_ma_method,formation,geological_group,member,stratscale,zone,zone_type,localsection,localbed,localbedunit,localorder,regionalsection,regionalbed,regionalbedunit,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,size_classes,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,research_group,taxon_environment,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement
177863,occ,3406,,16888,Prohesperocyon wilsoni,Prohesperocyon_wilsoni,(Gustafson 1986),species,46917,Chadronian,,37,33.9,Gustafson,1986,1758,Chordata,Mammalia,Carnivora,Canidae,Prohesperocyon,,,,-104.199997,29.9,,Airstrip (TMM 40504),,,US,Texas,Presidio,based on political unit,1,,,small collection,,gplates,101,mid,-89.99,35.83,US,,,,,,,,,,,,,,Capote Mountain Tuff,,,,,,Vieja,8,,bottom to top,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,TMM,,,,,,,"Hyracodon sp. and ""? Prodesmatochoerus cf. meekae"" are at other Airstrip localities (see)",vertebrate,terrestrial,actively mobile,ground dwelling,,"carnivore, omnivore",viviparous,,,hydroxyapatite,,,
177871,occ,,,16891,Hesperocyon gregarius,Hesperocyon_gregarius,(Cope 1873),species,44845,Chadronian,,37,33.9,Wang,1994,6226,Chordata,Mammalia,Carnivora,Canidae,Hesperocyon,,,,-107.099998,43.200001,"""Chadronian"" from 6 mi NW and 3 mi NW of Alcova",Alcova,,,US,Wyoming,Natrona,based on political unit,1,,,,Bates Hole,gplates,101,mid,-90.2,49.33,US,FED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,taxonomic,,,some genera,,,,,,apparently a synonym of Flagstaff Rim,vertebrate,terrestrial,actively mobile,ground dwelling,,"carnivore, omnivore",viviparous,,,hydroxyapatite,,,
177901,occ,3419,,16898,Hesperocyon gregarius,Hesperocyon_gregarius,(Cope 1873),species,44845,Chadronian,,37,33.9,Alroy,2002,6294,Chordata,Mammalia,Carnivora,Canidae,Hesperocyon,,,,-107.099998,43.200001,,Bates Hole (Reed Collection),,,US,Wyoming,Natrona,based on political unit,1,,,,county assignment uncertain,gplates,101,mid,-90.2,49.33,US,FED,,,,,,,,,,,,,White River,,lower,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,,,,,,,,"apparently a single locality<br>could be in Carbon County, but most likely in same Natrona County deposits that yield Harshman's main Chadronian fauna<br>reference and specimens apparently unknown to Harshman 1972<br>said to be ""Lower Oligocene""",vertebrate,terrestrial,actively mobile,ground dwelling,,"carnivore, omnivore",viviparous,,,hydroxyapatite,,,
177988,occ,,,16918,Hesperocyon gregarius,Hesperocyon_gregarius,(Cope 1873),species,44845,Chadronian,,37,33.9,Gustafson,1986,1757,Chordata,Mammalia,Carnivora,Canidae,Hesperocyon,,,,-103.099998,42.799999,"specimen from KU-NE-083 ""Chadronian"" of Walter Brecht Ranch listed by Wang 1994",Brecht Ranch,,TNAS,US,Nebraska,Dawes,based on political unit,1,,,small collection,,gplates,101,mid,-85.94,48.41,US,,,,,,,,,,,,,,Chadron,,,,,,PineR,1,,bottom to top,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,,,67 specimens,,,,,"includes CSC-55 Bartlett West #1 CSC-92 Rook Ranch lower levels (= UNSM Dw-104: Hunt 1998b) CSC-99 White's south end CSC-26 Hawthorne A CSC-27 Hawthorne B CSC-5 (in part) Schommer Ranch lower level<br>apparently in the Trunk Butter Member sensu LaGarry and LaGarry 1999<br>Brecht Ranch, level indeterminate: Paratylopus labiatus Prothero 1996d: presumably Orellan; also at ""Morris Ranch""<br>possibly relevant: Parictis sp. Hunt 1998a: ""Chadron Formation, sect. 2, T32N, R52W, Dawes County""<br>NISP 67, excluding brontotheres",vertebrate,terrestrial,actively mobile,ground dwelling,,"carnivore, omnivore",viviparous,,,hydroxyapatite,,,
178029,occ,,,16919,Hesperocyon gregarius,Hesperocyon_gregarius,(Cope 1873),species,44845,Chadronian,,37,33.9,Storer,1996,3318,Chordata,Mammalia,Carnivora,Canidae,Hesperocyon,,,,-109.883331,49.566666,"see Russell 1972: includes ""Alloeodectes mcgrewi"" of Russell 1984 according to Bryant 1991, Wang 1994; also includes cf. ""Hyaenodon minutus"" according to Bryant 1993",Calf Creek,,"SMNH Locality 6; SMNH 72F10-0001; ROM V-37-44; NMC Localities 115 and 117; Bone Coulee; ""Cypress Hills"" in part; Hunter Quarry",CA,Saskatchewan,,based on nearby landmark,minutes,,,outcrop,16 km NW of Eastend and apparently north of Fort Walsh (basis of coordinate),gplates,101,mid,-91.37,55.94,CA,,,,,,,,,,,,,,Cypress Hills,,,,,,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,NMC,,2900 specimens,,,,,"unquestioned Chadronian localities include 72F10-0001 (Calf Creek Screening Locality)<br>""Mesohippus stenolophus"" of Russell 1975 is from  Hemingfordian localities: Storer and Bryant 1993<br><br>""Mesohippus assiniboiensis"" of Russell 1975 is from Whitneyan localities: Storer and Bryant 1993<br>""Trigonias cf. yoderensis"" of Kihm 1987 includes T. sp. C;  however, the latter belongs to Penetrigonias sagittatus;  see Hanson 1989<br><br>""Chadrolagus sp."" is not present: see Storer 1981b",vertebrate,terrestrial,actively mobile,ground dwelling,,"carnivore, omnivore",viviparous,,,hydroxyapatite,,,
178117,occ,3480,,16924,Hesperocyon gregarius,Hesperocyon_gregarius,(Cope 1873),species,44845,Chadronian,,37,33.9,Alroy,2002,6294,Chordata,Mammalia,Carnivora,Canidae,Hesperocyon,,1,specimens,-112.099998,46.599998,,Canyon Ferry Reservoir 24LC16,,,US,Montana,Lewis and Clark,based on political unit,1,,,small collection,1 mi N of Canyon Ferry,gplates,127,mid,-94.83,53.3,US,,,,,,,,,,,,,,,,,,,,CFRes,1,,bottom to top,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,,,34 specimens,,,,,even split of specimens possibly from 24BW18 yields estimated NISP of 34,vertebrate,terrestrial,actively mobile,ground dwelling,,"carnivore, omnivore",viviparous,,,hydroxyapatite,,,
178127,occ,3486,,16925,Hesperocyon gregarius,Hesperocyon_gregarius,(Cope 1873),species,44845,Chadronian,,37,33.9,Alroy,2002,6294,Chordata,Mammalia,Carnivora,Canidae,Hesperocyon,,1,specimens,-111.300003,46.099998,,Canyon Ferry Reservoir 24BW18,,,US,Montana,Broadwater,based on political unit,1,,,small collection,1.25 mi SW of S end of Lake Sewell,gplates,101,mid,-94.07,52.71,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,,,22 specimens,,,,,"NOT in measured section<br>even split of specimens possibly from 24LC16 yields estimated NISP of 22<br>""Leptomeryx evansi"" is from the ""upper levels"" at this loc.;  NISP 2",vertebrate,terrestrial,actively mobile,ground dwelling,,"carnivore, omnivore",viviparous,,,hydroxyapatite,,,
178172,occ,3497,,16929,Hesperocyon gregarius,Hesperocyon_gregarius,(Cope 1873),species,44845,Chadronian,,37,33.9,Alroy,2002,6294,Chordata,Mammalia,Carnivora,Canidae,Hesperocyon,,,,-103.800003,42.400002,,Chadron in Place,,,US,Nebraska,Sioux,based on political unit,1,,,,S of Orella,gplates,101,mid,-86.81,48.11,US,,,,,,,,,,,,,,,,,,,,PineR,1,,bottom to top,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,,,,,,,,below the lower purple-white layer,vertebrate,terrestrial,actively mobile,ground dwelling,,"carnivore, omnivore",viviparous,,,hydroxyapatite,,,
178201,occ,3507,,16930,Hesperocyon gregarius,Hesperocyon_gregarius,(Cope 1873),species,44845,Chadronian,,37,33.9,Wang,1994,6226,Chordata,Mammalia,Carnivora,Canidae,Hesperocyon,,,,-103.400002,42.799999,,Chadronia Pocket,,,US,Nebraska,Dawes,stated in text,minutes,,,outcrop,"""a small badland area... N.W. 1/4, N.E. 1/4, N.W. 1/4, Sect. 36, T. 33 N., R. 52 W."" (Wood 1969)",gplates,101,mid,-86.26,48.45,US,FED,,,,,,,,,,,,,Chadron,,Big Cottonwood Creek,group of beds,,,PineR,1,,bottom to top,,,,,"member assignment based on LaGarry pers. commun. 19 May 2005\nfrom ""a section a few feet thick... well down in the local section of the Chadron"" (Wood 1969)","""grey-green... clay-silt"" that includes some solid blocks but is also screenable in part (Cook 1954)",siltstone,,poorly lithified,argillaceous,,,,,,,terrestrial indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,general faunal/floral,"bulk,surface (in situ),sieve","AMNH,UCMP",,3000 specimens,,"H. J. Cook, M. C. Cook",,,"rodents and lagomorphs described by Wood 1969<br>NOT the same as Chadron Anthill, which is in Sioux Co.<br>""has Orellan species that have been mixed from overlying strata"": Korth 1989a; this probably refers to the three records noted below<br>NW 1/4 sec 36 T33N R52W, i.e., 7 - 8 mi N of Crawford<br>includes ""9 miles north of Crawford"" collection of Cook 1934: Patton and Taylor 1934<br>""Palaeolagus haydeni"" is argued to be reworked; probably  includes ""Protolagus cf. affinis"" of Cook 1934<br><br>""Adjidaumo minutus"" is a composite of more than one species  probably including some Orellan material: Korth 1989a<br><br>""Eumys cf. elegans"" is argued to be reworked",vertebrate,terrestrial,actively mobile,ground dwelling,,"carnivore, omnivore",viviparous,,,hydroxyapatite,,,
178232,occ,,,16932,Hesperocyon gregarius,Hesperocyon_gregarius,(Cope 1873),species,44845,Chadronian,,37,33.9,Wang,1994,6226,Chordata,Mammalia,Carnivora,Canidae,Hesperocyon,,,,-104.5,43,"""Chadronian""","Channel Quarry, southeast end of Seaman Hills",,,US,Wyoming,Niobrara,based on political unit,1,,,small collection,SE end of Seamen Hills,gplates,101,mid,-87.41,48.8,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,,,some genera,,,,,,,vertebrate,terrestrial,actively mobile,ground dwelling,,"carnivore, omnivore",viviparous,,,hydroxyapatite,,,
