TaxonName,RBL,Percent_vert
Hemigalus_derbyanus,0.419,0
Meles_anakuma,0.55033557,0
Melursus_ursinus,0.618,0
Mydaus_javanensis,0.541359334,0
Mydaus_marchei,0.5207515,0
Tremarctos_ornatus,0.52,0
Ailuropoda_melanoleuca,0.634,10
Ailurus_fulgens,0.613,10
Bassaricyon_alleni,0.4560111,10
Bassaricyon_gabbii,0.4927883,10
Bassaricyon_medius,0.4816477,10
Bassaricyon_neblina,0.4523967,10
Bassariscus_astutus,0.64,10
Bassariscus_sumichrasti,0.6145268,10
Chrotogale_owstoni,0.4244728,10
Conepatus_chinga,0.490533491,10
Conepatus_humboldtii,0.40871212,10
Conepatus_leuconotus,0.531,10
Conepatus_semistriatus,0.524664,10
Cynictis_penicillata,0.702,10
Eupleres_goudotii,0.616,10
Eupleres_major,0.569,10
Nandinia_binotata,0.649,10
Potos_flavus,0.496,10
Ursus_arctos,0.48,10
Vulpes_cana,0.712,10
Aonyx_capensis,0.611443726,20
Aonyx_cinereus,0.5569973,20
Aonyx_congicus,0.61430288,20
Arctonyx_albogularis,0.488163708,20
Arctonyx_collaris,0.529637736,20
Bdeogale_crassicauda,0.5641334,20
Crossarchus_alexandri,0.5437513,20
Crossarchus_ansorgei,0.55810185,20
Crossarchus_obscurus,0.485,20
Fossa_fossana,0.593,20
Helarctos_malayanus,0.479,20
Helogale_hirtula,0.827,20
Helogale_parvula,0.784,20
Herpestes_pulverulentus,0.6387102,20
Herpestes_sanguineus,0.75,20
Ichneumia_albicauda,0.635,20
Liberiictis_kuhni,0.5267035,20
Mungos_mungo,0.745,20
Mungotictis_decemlineata,0.548,20
Nasua_narica,0.524,20
Nasua_nasua,0.66,20
Nasuella_olivacea,0.471,20
Poiana_richardsonii,0.652,20
Procyon_lotor,0.632,20
Suricata_suricatta,0.702,20
Ursus_americanus,0.48,20
Ursus_thibetanus,0.52,20
Lontra_felina,0.5774783,30
Martes_melampus,0.715392782,30
Melogale_moschata,0.6314601,30
Melogale_orientalis,0.653307138,30
Melogale_personata,0.6427669,30
Mephitis_macroura,0.5380951,30
Mephitis_mephitis,0.596505274,30
Otocyon_megalotis,0.529641169,30
Procyon_cancrivorus,0.5688053,30
Rhynchogale_melleri,0.535,30
Salanoia_concolor,0.569,30
Urocyon_cinereoargenteus,0.613,30
Urocyon_littoralis,0.572,30
Bdeogale_nigripes,0.478,40
Diplogale_hosei,0.4778862,40
Meles_meles,0.53046852,40
Nyctereutes_procyonoides,0.612,40
Paracynictis_selousi,0.689,40
Paradoxurus_hermaphroditus,0.596,40
Paradoxurus_jerdoni,0.57274581,40
Paradoxurus_zeylonensis,0.6052802,40
Spilogale_gracilis,0.65625131,40
Spilogale_putorius,0.5918,40
Arctictis_binturong,0.632,50
Canis_adustus,0.66,50
Cerdocyon_thous,0.59,50
Civettictis_civetta,0.623,50
Crossarchus_platycephalus,0.516441,50
Cynogale_bennettii,0.507,50
Enhydra_lutris,0.6396558,50
Lontra_provocax,0.5875162,50
Lycalopex_gymnocercus,0.6345991,50
Vulpes_zerda,0.655,50
Arctogalidia_trivirgata,0.5932672,60
Atilax_paludinosus,0.725,60
Canis_mesomelas,0.66,60
Dologale_dybowskii,0.57,60
Galictis_cuja,0.701609496,60
Galictis_vittata,0.718449276,60
Herpestes_auropunctatus,0.65217391,60
Herpestes_brachyurus,0.6163624,60
Herpestes_fuscus,0.6100471,60
Herpestes_ichneumon,0.726,60
Herpestes_javanicus,0.621,60
Herpestes_naso,0.623,60
Herpestes_urva,0.6414276,60
Herpestes_vitticollis,0.5881514,60
Ictonyx_libycus,0.5847909,60
Ictonyx_striatus,0.6458003,60
Lycalopex_fulvipes,0.6296927,60
Lycalopex_griseus,0.6416532,60
Lycalopex_sechurae,0.6201816,60
Lycalopex_vetulus,0.565,60
Martes_martes,0.727292235,60
Paguma_larvata,0.571,60
Pteronura_brasiliensis,0.642302924,60
Viverricula_indica,0.572,60
Vulpes_bengalensis,0.666,60
Vulpes_rueppellii,0.677,60
Chrysocyon_brachyurus,0.57,70
Galidictis_fasciata,0.64,70
Galidictis_grandidieri,0.657,70
Genetta_pardina,0.6753606,70
Herpestes_edwardsii,0.635,70
Lutra_lutra,0.635308278,70
Lutra_sumatrana,0.644904459,70
Lutrogale_perspicillata,0.5952465,70
Martes_americana,0.6960984,70
Martes_foina,0.6851285,70
Mellivora_capensis,0.7272771,70
Prionodon_linsang,0.764,70
Prionodon_pardicolor,0.7726614,70
Viverra_megaspila,0.66,70
Viverra_tangalunga,0.5988859,70
Vulpes_chama,0.623931,70
Vulpes_corsac,0.693,70
Vulpes_macrotis,0.642,70
Vulpes_vulpes,0.629,70
Atelocynus_microtis,0.6445953,80
Canis_aureus,0.64,80
Canis_lupaster,0.667699756,80
Galidia_elegans,0.656,80
Gulo_gulo,0.785187,80
Herpailurus_yagouaroundi,1,80
