species,m1Length,bladeLength,blade/m1,dentaryLength,m1bladeSize,jawDepth,log10mass,log10preyMass,TS_median,TE_median,duration,singleton
Aelurodon_asthenostylus,26.01,19.09,0.733948481,143.1,0.133,34.28,1.356,2.088,15.722,13.24,2.482,
Aelurodon_ferox,28.24,21.43,0.758852691,170.38,0.126,35.7,1.421,2.187,14.453,10.07,4.383,
Aelurodon_mcgrewi,25.67,20.6,0.802493183,161,0.128,34.5,1.345,2.104,13.569,12.662,0.907,
Aelurodon_montanensis,26.4,19.75,0.748106061,154.15,0.128,,1.367,,15.597,15.519,0.078,y
Aelurodon_stirtoni,24.69,18.9,0.765492102,135.5,0.139,28,1.314,1.597,14.35,12.145,2.205,
Aelurodon_taxoides,30.05,22.95,0.763727121,192.3,0.119,39.85,1.47,2.453,13.351,6.652,6.699,
Alopex_lagopus,13.05,8.12,0.622222222,89.14,0.091,13,0.69,-0.959,,,,
Archaeocyon_falkenbachi,,,,,,,,,26.016,25.612,0.404,y
Archaeocyon_leptodus,9.13,6,0.657174151,60.26,0.1,8.73,0.528,-1.228,33.004,26.248,6.756,
Archaeocyon_pavidus,7.65,4.97,0.649673203,50.4,0.099,8.5,0.388,-1.293,33.296,28.045,5.252,
Borophagus_diversidens,32.91,23.37,0.710118505,187.31,0.125,42.29,1.542,2.597,4.768,1.007,3.761,
Borophagus_dudleyi,,,,,,,,,5.118,4.78,0.338,
Borophagus_hilli,29.88,20.92,0.700133869,171.98,0.122,35.24,1.465,2.155,5.732,4.615,1.117,
Borophagus_littoralis,26.5,17.76,0.670188679,154.67,0.115,31.41,1.37,1.876,12.244,6.66,5.584,
Borophagus_orc,22.15,15.73,0.710158014,131.99,0.119,28.04,1.229,1.601,7.163,6.701,0.462,
Borophagus_parvus,23.76,14.97,0.630050505,140.44,0.107,25.45,1.284,1.366,6.598,4.553,2.045,
Borophagus_pugnator,26.88,18.01,0.670014881,156.62,0.115,32.35,1.382,1.948,8.977,4.61,4.368,
Borophagus_secundus,26.92,20.4,0.757800892,142.57,0.143,28.9,1.383,1.674,7.947,4.868,3.08,
Caedocyon_tedfordi,19,,,,,,1.107,,25.965,25.593,0.373,y
Canis_armbrusteri,29.54,22.39,0.757955315,188.89,0.119,32.07,1.456,1.927,2.499,0.105,2.394,
Canis_cedazoensis,,,,,,,,,0.782,0.632,0.15,y
Canis_dirus,33.39,23.01,0.689128482,192,0.12,38,1.553,2.338,0.241,0,0.241,
Canis_edwardii,24.95,17.32,0.694188377,153.16,0.113,25.46,1.323,1.367,2.688,0.98,1.708,
Canis_feneus,,,,,,19.14,,0.675,2.131,1.944,0.186,y
Canis_ferox,19.93,13.2,0.662318113,132,0.1,20.9,1.145,0.888,7.229,4.577,2.652,
Canis_latrans,21.16,13.6,0.642722117,124.14,0.11,18.98,1.193,0.699,,,,
Canis_lepophagus,20.63,15,0.727096461,140.45,0.107,19.22,1.172,0.685,5.55,1.583,3.966,
Canis_lupus,27.6,17.84,0.646376812,161.42,0.111,29.45,1.403,2.21,,,,
Canis_thooides,18.35,13.13,0.715531335,127.15,0.103,21.43,1.08,0.949,2.835,2.653,0.181,y
